zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
92701,0.0,34,right_only,0.0,1
92703,0.0,3,right_only,0.0,1
92704,0.0,7,right_only,0.0,1
92705,0.0,20,right_only,0.0,1
92706,0.0,10,right_only,0.0,1
92707,0.0,12,right_only,0.0,1
92708,0.0,18,right_only,0.0,1
92780,0.0,29,right_only,0.0,1
92782,0.0,14,right_only,0.0,1
92801,0.0,15,right_only,0.0,1
92802,0.0,150,right_only,0.0,1
92803,0.0,1,right_only,0.0,1
92804,0.0,7,right_only,0.0,1
92805,0.0,41,right_only,0.0,1
92806,0.0,20,right_only,0.0,1
92807,0.0,10,right_only,0.0,1
92808,0.0,2,right_only,0.0,1
92821,0.0,15,right_only,0.0,1
92823,0.0,2,right_only,0.0,1
92831,0.0,54,right_only,0.0,1
92832,0.0,50,right_only,0.0,1
92833,0.0,11,right_only,0.0,1
92835,0.0,7,right_only,0.0,1
92840,0.0,6,right_only,0.0,1
92841,0.0,1,right_only,0.0,1
92843,0.0,1,right_only,0.0,1
92844,0.0,1,right_only,0.0,1
92860,0.0,4,right_only,0.0,1
92865,0.0,1,right_only,0.0,1
92866,0.0,9,right_only,0.0,1
92867,0.0,7,right_only,0.0,1
92868,0.0,69,right_only,0.0,1
92869,0.0,2,right_only,0.0,1
92870,0.0,6,right_only,0.0,1
92878,0.0,1,right_only,0.0,1
92879,0.0,8,right_only,0.0,1
92880,0.0,6,right_only,0.0,1
92881,0.0,4,right_only,0.0,1
92882,0.0,20,right_only,0.0,1
92883,0.0,4,right_only,0.0,1
92886,0.0,15,right_only,0.0,1
92887,0.0,4,right_only,0.0,1
93001,0.0,18,right_only,0.0,1
93002,0.0,1,right_only,0.0,1
93003,0.0,19,right_only,0.0,1
93004,0.0,6,right_only,0.0,1
93009,0.0,2,right_only,0.0,1
93010,0.0,27,right_only,0.0,1
93012,0.0,10,right_only,0.0,1
93013,0.0,6,right_only,0.0,1
93015,0.0,3,right_only,0.0,1
93021,0.0,14,right_only,0.0,1
93022,0.0,1,right_only,0.0,1
93023,0.0,11,right_only,0.0,1
93030,0.0,8,right_only,0.0,1
93033,0.0,5,right_only,0.0,1
93035,0.0,6,right_only,0.0,1
93036,0.0,25,right_only,0.0,1
93041,0.0,7,right_only,0.0,1
93060,0.0,7,right_only,0.0,1
93063,0.0,4,right_only,0.0,1
93065,0.0,11,right_only,0.0,1
93066,0.0,1,right_only,0.0,1
93101,0.0,48,right_only,0.0,1
93103,0.0,5,right_only,0.0,1
93105,0.0,7,right_only,0.0,1
93106,0.0,13,right_only,0.0,1
93108,0.0,11,right_only,0.0,1
93109,0.0,7,right_only,0.0,1
93110,0.0,5,right_only,0.0,1
93111,0.0,2,right_only,0.0,1
93117,0.0,34,right_only,0.0,1
93203,0.0,7,right_only,0.0,1
93204,0.0,2,right_only,0.0,1
93206,0.0,8,right_only,0.0,1
93210,0.0,11,right_only,0.0,1
93215,0.0,9,right_only,0.0,1
93221,0.0,2,right_only,0.0,1
93223,0.0,5,right_only,0.0,1
93230,0.0,39,right_only,0.0,1
93234,0.0,4,right_only,0.0,1
93239,0.0,8,right_only,0.0,1
93241,0.0,3,right_only,0.0,1
93243,0.0,8,right_only,0.0,1
93245,0.0,5,right_only,0.0,1
93246,0.0,1,right_only,0.0,1
93247,0.0,5,right_only,0.0,1
93249,0.0,6,right_only,0.0,1
93250,0.0,7,right_only,0.0,1
93254,0.0,2,right_only,0.0,1
93257,0.0,11,right_only,0.0,1
93263,0.0,4,right_only,0.0,1
93268,0.0,2,right_only,0.0,1
93271,0.0,2,right_only,0.0,1
93274,0.0,10,right_only,0.0,1
93277,0.0,10,right_only,0.0,1
93280,0.0,6,right_only,0.0,1
93286,0.0,5,right_only,0.0,1
93291,0.0,14,right_only,0.0,1
93292,0.0,11,right_only,0.0,1
93301,0.0,49,right_only,0.0,1
93304,0.0,4,right_only,0.0,1
93305,0.0,1,right_only,0.0,1
93306,0.0,3,right_only,0.0,1
93307,0.0,6,right_only,0.0,1
93308,0.0,19,right_only,0.0,1
93309,0.0,7,right_only,0.0,1
93311,0.0,11,right_only,0.0,1
93312,0.0,2,right_only,0.0,1
93313,0.0,15,right_only,0.0,1
93314,0.0,2,right_only,0.0,1
93401,0.0,58,right_only,0.0,1
93402,0.0,1,right_only,0.0,1
93405,0.0,22,right_only,0.0,1
93407,0.0,11,right_only,0.0,1
93420,0.0,9,right_only,0.0,1
93422,0.0,16,right_only,0.0,1
93424,0.0,3,right_only,0.0,1
93426,0.0,2,right_only,0.0,1
93427,0.0,3,right_only,0.0,1
93428,0.0,7,right_only,0.0,1
93430,0.0,3,right_only,0.0,1
93432,0.0,1,right_only,0.0,1
93433,0.0,3,right_only,0.0,1
93436,0.0,11,right_only,0.0,1
93440,0.0,2,right_only,0.0,1
93442,0.0,3,right_only,0.0,1
93446,0.0,55,right_only,0.0,1
93449,0.0,23,right_only,0.0,1
93450,0.0,1,right_only,0.0,1
93451,0.0,1,right_only,0.0,1
93452,0.0,3,right_only,0.0,1
93453,0.0,1,right_only,0.0,1
93454,0.0,35,right_only,0.0,1
93455,0.0,14,right_only,0.0,1
93458,0.0,5,right_only,0.0,1
93460,0.0,10,right_only,0.0,1
93461,0.0,1,right_only,0.0,1
93463,0.0,9,right_only,0.0,1
93465,0.0,5,right_only,0.0,1
93499,0.0,1,right_only,0.0,1
93501,0.0,12,right_only,0.0,1
93510,0.0,1,right_only,0.0,1
93514,0.0,7,right_only,0.0,1
93516,0.0,4,right_only,0.0,1
93517,0.0,3,right_only,0.0,1
93523,0.0,4,right_only,0.0,1
93527,0.0,8,right_only,0.0,1
93534,0.0,24,right_only,0.0,1
93535,0.0,10,right_only,0.0,1
93536,0.0,12,right_only,0.0,1
93541,0.0,1,right_only,0.0,1
93543,0.0,2,right_only,0.0,1
93545,0.0,1,right_only,0.0,1
93546,0.0,7,right_only,0.0,1
93549,0.0,2,right_only,0.0,1
93550,0.0,7,right_only,0.0,1
93551,0.0,20,right_only,0.0,1
93552,0.0,2,right_only,0.0,1
93555,0.0,3,right_only,0.0,1
93561,0.0,15,right_only,0.0,1
93562,0.0,1,right_only,0.0,1
93601,0.0,1,right_only,0.0,1
93610,0.0,7,right_only,0.0,1
93611,0.0,12,right_only,0.0,1
93612,0.0,16,right_only,0.0,1
93614,0.0,4,right_only,0.0,1
93616,0.0,1,right_only,0.0,1
93618,0.0,3,right_only,0.0,1
93622,0.0,7,right_only,0.0,1
93623,0.0,3,right_only,0.0,1
93625,0.0,4,right_only,0.0,1
93630,0.0,11,right_only,0.0,1
93631,0.0,2,right_only,0.0,1
93635,0.0,11,right_only,0.0,1
93636,0.0,1,right_only,0.0,1
93637,0.0,11,right_only,0.0,1
93638,0.0,9,right_only,0.0,1
93640,0.0,10,right_only,0.0,1
93644,0.0,11,right_only,0.0,1
93645,0.0,1,right_only,0.0,1
93646,0.0,2,right_only,0.0,1
93647,0.0,1,right_only,0.0,1
93648,0.0,4,right_only,0.0,1
93650,0.0,4,right_only,0.0,1
93651,0.0,1,right_only,0.0,1
93654,0.0,2,right_only,0.0,1
93657,0.0,5,right_only,0.0,1
93660,0.0,1,right_only,0.0,1
93662,0.0,9,right_only,0.0,1
93673,0.0,2,right_only,0.0,1
93702,0.0,1,right_only,0.0,1
93703,0.0,6,right_only,0.0,1
93704,0.0,19,right_only,0.0,1
93706,0.0,7,right_only,0.0,1
93710,0.0,14,right_only,0.0,1
93711,0.0,7,right_only,0.0,1
93720,0.0,32,right_only,0.0,1
93721,0.0,27,right_only,0.0,1
93722,0.0,24,right_only,0.0,1
93726,0.0,8,right_only,0.0,1
93727,0.0,15,right_only,0.0,1
93728,0.0,9,right_only,0.0,1
93730,0.0,3,right_only,0.0,1
93740,0.0,7,right_only,0.0,1
93901,0.0,18,right_only,0.0,1
